rank 1 gen 10 rankA 3 rankB 2
rank 1 gen 20 rankA 1 rankB 3
rank 1 gen 10 rankA 3 rankB 2
rank 1 gen 20 rankA 1 rankB 3
rank 1 gen 30 rankA 2 rankB 0
rank 1 gen 40 rankA 1 rankB 3
rank 1 gen 50 rankA 0 rankB 3
rank 1 gen 60 rankA 3 rankB 2
rank 1 gen 70 rankA 2 rankB 3
rank 1 gen 80 rankA 1 rankB 3
rank 1 gen 90 rankA 2 rankB 0
rank 1 gen 100 rankA 2 rankB 1
rank 1 gen 110 rankA 2 rankB 1
rank 1 gen 120 rankA 0 rankB 3
rank 1 gen 130 rankA 0 rankB 2
rank 1 gen 140 rankA 0 rankB 1
rank 1 gen 150 rankA 3 rankB 0
rank 1 gen 160 rankA 2 rankB 3
rank 1 gen 170 rankA 2 rankB 0
rank 1 gen 180 rankA 2 rankB 0
rank 1 gen 190 rankA 0 rankB 2
rank 1 gen 10 rankA 3 rankB 2
rank 1 gen 20 rankA 1 rankB 3
rank 1 gen 30 rankA 2 rankB 0
rank 1 gen 40 rankA 1 rankB 3
rank 1 gen 50 rankA 0 rankB 3
rank 1 gen 60 rankA 3 rankB 2
rank 1 gen 70 rankA 2 rankB 3
rank 1 gen 80 rankA 1 rankB 3
rank 1 gen 90 rankA 2 rankB 0
rank 1 gen 100 rankA 2 rankB 1
rank 1 gen 110 rankA 2 rankB 1
rank 1 gen 120 rankA 0 rankB 3
rank 1 gen 130 rankA 0 rankB 2
rank 1 gen 140 rankA 0 rankB 1
rank 1 gen 150 rankA 3 rankB 0
rank 1 gen 160 rankA 2 rankB 3
rank 1 gen 170 rankA 2 rankB 0
rank 1 gen 180 rankA 2 rankB 0
rank 1 gen 190 rankA 0 rankB 2
rank 1 gen 10 rankA 3 rankB 2
rank 1 gen 20 rankA 0 rankB 2
rank 1 gen 30 rankA 0 rankB 2
rank 1 gen 40 rankA 1 rankB 2
rank 1 gen 50 rankA 3 rankB 0
rank 1 gen 60 rankA 3 rankB 1
rank 1 gen 70 rankA 1 rankB 2
rank 1 gen 80 rankA 0 rankB 3
rank 1 gen 90 rankA 0 rankB 3
rank 1 gen 100 rankA 2 rankB 1
rank 1 gen 110 rankA 1 rankB 2
rank 1 gen 120 rankA 0 rankB 3
rank 1 gen 130 rankA 2 rankB 1
rank 1 gen 140 rankA 0 rankB 1
rank 1 gen 150 rankA 1 rankB 2
rank 1 gen 160 rankA 2 rankB 3
rank 1 gen 170 rankA 1 rankB 3
rank 1 gen 180 rankA 1 rankB 2
rank 1 gen 190 rankA 3 rankB 2
rank 1 gen 10 rankA 3 rankB 2
rank 1 gen 20 rankA 0 rankB 2
rank 1 gen 30 rankA 2 rankB 3
rank 1 gen 40 rankA 2 rankB 3
rank 1 gen 50 rankA 0 rankB 3
rank 1 gen 60 rankA 0 rankB 3
rank 1 gen 70 rankA 3 rankB 2
rank 1 gen 80 rankA 2 rankB 3
rank 1 gen 90 rankA 2 rankB 1
rank 1 gen 100 rankA 1 rankB 3
rank 1 gen 110 rankA 1 rankB 0
rank 1 gen 120 rankA 1 rankB 0
rank 1 gen 130 rankA 2 rankB 1
rank 1 gen 140 rankA 1 rankB 2
rank 1 gen 150 rankA 2 rankB 3
rank 1 gen 160 rankA 3 rankB 2
rank 1 gen 170 rankA 3 rankB 2
rank 1 gen 180 rankA 2 rankB 3
rank 1 gen 190 rankA 1 rankB 3
