          0.4          0.4      0.31665
          0.4        0.424     0.243346
          0.4        0.448     0.226144
          0.4        0.472     0.130291
          0.4        0.496      0.13463
          0.4         0.52    0.0827292
          0.4        0.544    0.0723709
          0.4        0.568    0.0296538
          0.4        0.592   -0.0318816
          0.4        0.616   -0.0647927
          0.4         0.64   -0.0651738
          0.4        0.664   -0.0775394
          0.4        0.688    -0.127474
          0.4        0.712     -0.16138
          0.4        0.736    -0.152301
          0.4         0.76    -0.183727
          0.4        0.784    -0.219988
          0.4        0.808    -0.228542
          0.4        0.832     -0.28296
          0.4        0.856     -0.27904
          0.4         0.88    -0.259118
          0.4        0.904     -0.24661
          0.4        0.928    -0.244042
          0.4        0.952    -0.268453
          0.4        0.976    -0.271868
        0.428          0.4     0.289474
        0.428        0.424     0.208174
        0.428        0.448     0.134903
        0.428        0.472     0.107385
        0.428        0.496    0.0745114
        0.428         0.52    0.0231071
        0.428        0.544    0.0162133
        0.428        0.568   -0.0301925
        0.428        0.592   -0.0790999
        0.428        0.616    -0.077364
        0.428         0.64   -0.0877647
        0.428        0.664    -0.110511
        0.428        0.688     -0.17059
        0.428        0.712    -0.172745
        0.428        0.736     -0.21354
        0.428         0.76    -0.232112
        0.428        0.784    -0.246031
        0.428        0.808    -0.245409
        0.428        0.832    -0.227201
        0.428        0.856    -0.275235
        0.428         0.88    -0.283087
        0.428        0.904    -0.309108
        0.428        0.928    -0.256873
        0.428        0.952    -0.206288
        0.428        0.976    -0.296615
        0.456          0.4     0.168358
        0.456        0.424    0.0805581
        0.456        0.448      0.11122
        0.456        0.472     0.058438
        0.456        0.496     0.015994
        0.456         0.52    0.0132938
        0.456        0.544   -0.0367147
        0.456        0.568   -0.0896175
        0.456        0.592   -0.0773936
        0.456        0.616    -0.124054
        0.456         0.64    -0.159931
        0.456        0.664    -0.164031
        0.456        0.688    -0.169224
        0.456        0.712    -0.205341
        0.456        0.736    -0.220766
        0.456         0.76    -0.238326
        0.456        0.784    -0.231167
        0.456        0.808    -0.260489
        0.456        0.832    -0.274232
        0.456        0.856    -0.290184
        0.456         0.88    -0.259321
        0.456        0.904    -0.285383
        0.456        0.928    -0.277383
        0.456        0.952    -0.227997
        0.456        0.976    -0.250684
        0.484          0.4     0.196205
        0.484        0.424    0.0347468
        0.484        0.448    0.0413582
        0.484        0.472   -0.0187861
        0.484        0.496   -0.0669447
        0.484         0.52   -0.0792491
        0.484        0.544   -0.0733722
        0.484        0.568    -0.128452
        0.484        0.592    -0.128716
        0.484        0.616     -0.15442
        0.484         0.64    -0.191844
        0.484        0.664    -0.195441
        0.484        0.688    -0.219276
        0.484        0.712    -0.227335
        0.484        0.736    -0.243101
        0.484         0.76    -0.249832
        0.484        0.784    -0.251115
        0.484        0.808    -0.278554
        0.484        0.832    -0.260937
        0.484        0.856    -0.234449
        0.484         0.88    -0.247455
        0.484        0.904    -0.271223
        0.484        0.928    -0.181457
        0.484        0.952    -0.218283
        0.484        0.976    -0.239935
        0.512          0.4     0.137741
        0.512        0.424    0.0502001
        0.512        0.448   -0.0265569
        0.512        0.472   -0.0658772
        0.512        0.496   -0.0867864
        0.512         0.52   -0.0985118
        0.512        0.544    -0.131881
        0.512        0.568    -0.169904
        0.512        0.592    -0.190938
        0.512        0.616    -0.187049
        0.512         0.64    -0.215403
        0.512        0.664    -0.211877
        0.512        0.688    -0.242209
        0.512        0.712    -0.255982
        0.512        0.736    -0.267854
        0.512         0.76    -0.281213
        0.512        0.784    -0.270159
        0.512        0.808    -0.315619
        0.512        0.832    -0.260856
        0.512        0.856     -0.25991
        0.512         0.88    -0.270916
        0.512        0.904    -0.311196
        0.512        0.928    -0.290663
        0.512        0.952    -0.232342
        0.512        0.976    -0.236826
         0.54          0.4     0.159742
         0.54        0.424     0.041059
         0.54        0.448 -0.000599226
         0.54        0.472    -0.104297
         0.54        0.496    -0.136229
         0.54         0.52    -0.156528
         0.54        0.544    -0.162105
         0.54        0.568      -0.1854
         0.54        0.592    -0.224997
         0.54        0.616    -0.240349
         0.54         0.64    -0.232174
         0.54        0.664    -0.240625
         0.54        0.688    -0.276938
         0.54        0.712    -0.288754
         0.54        0.736    -0.285591
         0.54         0.76    -0.306573
         0.54        0.784    -0.305962
         0.54        0.808    -0.282699
         0.54        0.832    -0.309576
         0.54        0.856    -0.290061
         0.54         0.88    -0.269722
         0.54        0.904     -0.19036
         0.54        0.928    -0.206715
         0.54        0.952    -0.187041
         0.54        0.976    -0.209548
        0.568          0.4     0.191372
        0.568        0.424    0.0777218
        0.568        0.448   -0.0461051
        0.568        0.472    -0.147985
        0.568        0.496    -0.179427
        0.568         0.52    -0.209187
        0.568        0.544    -0.257436
        0.568        0.568    -0.227808
        0.568        0.592    -0.257195
        0.568        0.616    -0.284654
        0.568         0.64    -0.292189
        0.568        0.664    -0.297706
        0.568        0.688    -0.311385
        0.568        0.712      -0.3155
        0.568        0.736    -0.340569
        0.568         0.76    -0.312113
        0.568        0.784    -0.302175
        0.568        0.808    -0.270605
        0.568        0.832      -0.3034
        0.568        0.856    -0.306108
        0.568         0.88    -0.271676
        0.568        0.904    -0.220501
        0.568        0.928    -0.233168
        0.568        0.952    -0.218015
        0.568        0.976    -0.153568
        0.596          0.4     0.212474
        0.596        0.424    -0.031429
        0.596        0.448   -0.0792752
        0.596        0.472    -0.129892
        0.596        0.496    -0.175938
        0.596         0.52    -0.258093
        0.596        0.544    -0.265354
        0.596        0.568    -0.298868
        0.596        0.592    -0.291697
        0.596        0.616     -0.29446
        0.596         0.64    -0.330219
        0.596        0.664    -0.335707
        0.596        0.688    -0.310689
        0.596        0.712    -0.329024
        0.596        0.736    -0.336442
        0.596         0.76    -0.326031
        0.596        0.784    -0.334739
        0.596        0.808    -0.320756
        0.596        0.832    -0.310609
        0.596        0.856    -0.314519
        0.596         0.88    -0.274666
        0.596        0.904    -0.280421
        0.596        0.928    -0.207668
        0.596        0.952    -0.202248
        0.596        0.976    -0.214386
        0.624          0.4     0.221164
        0.624        0.424    0.0295266
        0.624        0.448   -0.0947085
        0.624        0.472    -0.151431
        0.624        0.496    -0.216699
        0.624         0.52    -0.253189
        0.624        0.544    -0.305996
        0.624        0.568    -0.347058
        0.624        0.592    -0.321799
        0.624        0.616     -0.34846
        0.624         0.64    -0.355253
        0.624        0.664    -0.363526
        0.624        0.688     -0.33919
        0.624        0.712    -0.351197
        0.624        0.736    -0.339535
        0.624         0.76    -0.342779
        0.624        0.784    -0.301646
        0.624        0.808    -0.315857
        0.624        0.832    -0.231986
        0.624        0.856    -0.256549
        0.624         0.88    -0.280941
        0.624        0.904    -0.223163
        0.624        0.928    -0.192912
        0.624        0.952    -0.282705
        0.624        0.976    -0.125096
        0.652          0.4     0.213003
        0.652        0.424    0.0202982
        0.652        0.448    -0.187452
        0.652        0.472    -0.219599
        0.652        0.496    -0.281338
        0.652         0.52    -0.326651
        0.652        0.544    -0.353974
        0.652        0.568    -0.333069
        0.652        0.592    -0.369852
        0.652        0.616    -0.370323
        0.652         0.64    -0.364872
        0.652        0.664    -0.357754
        0.652        0.688    -0.347827
        0.652        0.712    -0.369906
        0.652        0.736    -0.363488
        0.652         0.76    -0.328956
        0.652        0.784     -0.35477
        0.652        0.808    -0.348941
        0.652        0.832    -0.316974
        0.652        0.856    -0.278994
        0.652         0.88    -0.220528
        0.652        0.904    -0.217399
        0.652        0.928    -0.237136
        0.652        0.952   -0.0868781
        0.652        0.976    -0.180859
         0.68          0.4      0.28912
         0.68        0.424   0.00448228
         0.68        0.448   -0.0708212
         0.68        0.472    -0.184836
         0.68        0.496    -0.260666
         0.68         0.52    -0.321983
         0.68        0.544    -0.332399
         0.68        0.568    -0.386898
         0.68        0.592    -0.385983
         0.68        0.616    -0.393255
